"","type1_lag","type1_ADF","type1_p.value","type2_lag","type2_ADF","type2_p.value","type3_lag","type3_ADF","type3_p.value"
"","0","-1.1386547318925","0.271939588962096","0","-2.11693741245616","0.281225035017534","0","-3.12727814636162","0.101146043637215"
"","1","-1.07161136954342","0.295887904087868","1","-2.04203595900821","0.311185616396718","1","-3.03929951732461","0.138189676915953"
"","2","-1.11500209868821","0.280388459867186","2","-2.09452102984506","0.290191588061975","2","-3.10206265484996","0.111763092694752"
"","3","-1.12033215819107","0.278484528737524","3","-2.1026945551008","0.28692217795968","3","-3.11314581560402","0.107096498693044"
"","4","-1.30858604622844","0.21123904348133","4","-2.32325219571251","0.198699121714998","4","-3.38577295483897","0.0558709184741321"
"","5","-1.2520855882552","0.23142136615853","5","-2.258951508988","0.224419396404801","5","-3.31008931992266","0.0689287857435576"
"","6","-1.49659361606215","0.144081544652962","6","-2.55112777114823","0.107548891540707","6","-3.67464676020692","0.0247675076957661"
"","7","-1.56288237961715","0.120402777012295","7","-2.63437365042395","0.0892639332548951","7","-3.78313523166927","0.0193394818046288"
"mean3","mean","-1.25821849855977","0.229230651619974","mean","-2.26548676033536","0.223681970043914","mean","-3.31692880009725","0.078387750707381"
