"","type1_lag","type1_ADF","type1_p.value","type2_lag","type2_ADF","type2_p.value","type3_lag","type3_ADF","type3_p.value"
"","0","-1.69099375506012","0.0892433704454364","0","0.31004216063577","0.977847618491074","0","-1.49276057756399","0.792504260904113"
"","1","-1.74801597168356","0.0806036406540057","1","0.433734147435643","0.982862158496474","1","-1.37834708120426","0.841201169285084"
"","2","-1.71183360121527","0.0860858179976871","2","0.269145215024477","0.976189634209535","2","-1.48766623812815","0.794672524165544"
"","3","-1.69598698261164","0.0884868208164178","3","0.177021138356292","0.969937115631748","3","-1.55082626985199","0.767790221150133"
"","4","-1.68910120616262","0.0895301202783907","4","0.186757831055051","0.970722332784874","4","-1.55075248148354","0.767821627107754"
"","5","-1.69473649488272","0.0886762886541338","5","0.251377269458608","0.975469312092","5","-1.50873296605891","0.785706059958335"
"","6","-1.62168273234211","0.0997450405542257","6","0.127566820040914","0.965948864154702","6","-1.65191030162821","0.724766626986828"
"","7","-1.66450746220037","0.0932564451211554","7","0.18445942197661","0.970536977214032","7","-1.57323313285452","0.758253365888679"
"mean2","mean","-1.6896072757698","0.0894534430651815","mean","0.242513000497921","0.973689251634305","mean","-1.5242786310967","0.779089481930809"
