"","type1_lag","type1_ADF","type1_p.value","type2_lag","type2_ADF","type2_p.value","type3_lag","type3_ADF","type3_p.value"
"","0","-2.12284821509024","0.0345671236526569","0","-2.40680120941009","0.165279516235963","0","-3.16239280411154","0.0944111968585985"
"","1","-1.63100051136807","0.0983332558533223","1","-1.91466705867535","0.362133176529859","1","-2.65973584654745","0.298005959348442"
"","2","-1.91325876019615","0.0555668545157348","2","-2.1969426810659","0.24922292757364","2","-2.94847830497435","0.17643018737922"
"","3","-2.26055299050438","0.0236905861212409","3","-2.54636242069066","0.109455031723735","3","-3.31090301592382","0.0687883969475844"
"","4","-2.46944065264782","0.014738257743665","4","-2.75816105070051","0.0686189988318867","4","-3.53531882158038","0.038457400611565"
"","5","-1.50396433157313","0.141448678227793","5","-1.79071773818351","0.411712904726597","5","-2.54462773817084","0.346472531296487"
"","6","-1.07002863665694","0.29645326633399","6","-1.36262000253686","0.573408848659517","6","-2.12402501149505","0.523824190096254"
"","7","-1.27849929183913","0.221986223365824","7","-1.56872208998742","0.500452357526577","7","-2.32966232125443","0.43698428578761"
"mean1","mean","-1.78119917373448","0.110848030726778","mean","-2.06812428140629","0.305035470225972","mean","-2.82689298300723","0.24792176854072"
