"","lag","ADF","p.value","lag","ADF","p.value","lag","ADF","p.value"
"","0","0.898587660579306","0.901100982125552","0","-1.01052236569799","0.698045180283896","0","-1.68140358136788","0.71221363641287"
"","1","0.92448416613737","0.904421046940688","1","-1.00535856517373","0.699873074274786","1","-1.6547192821022","0.723571062921939"
"","2","0.964420654394831","0.909541109537799","2","-1.11216314373962","0.662066143808985","2","-1.63625861353405","0.731428330766357"
"","3","0.959574425304222","0.908919798115926","3","-1.16761354612438","0.642437682787829","3","-1.65369121007068","0.724008633061134"
"","4","0.845800053716899","0.887282412590573","4","-1.18758645595982","0.635367626208912","4","-1.7652704058749","0.676518065530389"
"","5","0.879248557613156","0.896906502839249","5","-1.16091001915142","0.644810612689763","5","-1.72481724314055","0.693735824117201"
"","6","0.750986559364565","0.860001861290897","6","-1.21790429034797","0.624635649434347","6","-1.8695212754221","0.632146595341112"
"","7","0.790995548054324","0.8715135904583","7","-1.22767287856576","0.621177742100617","7","-1.82847574109712","0.649616480346524"
"mean4","mean","0.876762203145584","0.892460912987373","mean","-1.13621640809509","0.653551713948642","mean","-1.72676966907618","0.692904828562191"
